CONCEPTID	CONCEPTSTATUS	FULLYSPECIFIEDNAME	CTV3ID	SNOMEDID	ISPRIMITIVE
552611000005106	0	subchondral (qualifier value)	0	0	1
552811000005107	0	defect in vaginal wall  (finding)	0	0	1
552821000005101	0	cough stress test (qualifier value)	0	0	1
552831000005103	0	Pelvic Organ Prolaps Quantitation (assessment scale)	0	0	1
553011000005109	0	properties of Pelvic Organ Prolaps Quantitation  (observable entity)	0	0	1
553211000005104	0	lower posterior vaginal wall (observable entity)	0	0	1
553221000005105	0	lower anterior vaginal wall (observable entity)	0	0	1
553231000005108	0	total vaginal length (observable entity)	0	0	1
553241000005100	0	vaginal cuffscar (observable entity)	0	0	1
553251000005103	0	upper posterior vaginal wall (observable entity)	0	0	1
553261000005101	0	upper anterior vaginal wall (observable entity)	0	0	1
553271000005106	0	geniatal hiatus (observable entity)	0	0	1
553281000005109	0	perineal body (observable entity)	0	0	1
553291000005107	0	posterior fornix (observable entity)	0	0	1
553411000005103	0	pelvic compartment (body structure)	0	0	1
553421000005109	0	anterior comapartment (body structure)	0	0	1
553431000005107	0	middle compartment (body structure)	0	0	1
553441000005104	0	posterior compartment (body structure)	0	0	1
553611000005101	0	grade 3 (qualifier value)	0	0	1
553621000005107	0	grade 4 (qualifier value)	0	0	1
553631000005105	0	grade 0 (qualifier value)	0	0	1
553641000005102	0	grade 1 (qualifier value)	0	0	1
553651000005100	0	grade 2 (qualifier value)	0	0	1
553811000005100	0	Panodil 500 mg tablet (product)	0	0	1
554011000005107	0	forensic medicine (qualifier value)	0	0	1
554021000005101	0	municipal health visitors (environment)	0	0	1
554031000005103	0	dietician clinic (environment)	0	0	1
554041000005106	0	health administration (environment)	0	0	1
554051000005108	0	zone therapy clinic (environment)	0	0	1
554061000005105	0	chiropodist clinik (environment)	0	0	1
554071000005100	0	hospital pharmacy (environment)	0	0	1
554211000005102	0	prehospital unit (environment)	0	0	1
554221000005108	0	dwilling place (environment)	0	0	1
554231000005106	0	vaccination clinic (environment)	0	0	1
554241000005103	0	technical location number (observable entity)	0	0	1
554411000005101	0	employment agency (environment)	0	0	1
554421000005107	0	clinical allergology (qualifier value)	0	0	1
554431000005105	0	Clinical physiology and nuclear medicine (qualifier value)	0	0	1
554441000005102	0	Anatomic pathology and cytology (qualifier value)	0	0	1
