substans	conceptid
1-(1-(2-thienyl)cyclohexyl)piperidin	129480005
1-(4-isopropylphenyl)-3-phenyl-1,3-propandion	256179003
1-Acylglycerol-3-phosphatacyltransferase	45952002
1-Acylglycerophosphocholinacyltransferase	35342009
1-alkyl-2-acetylglycerolcholinphosphotransferase	67652008
1-Alkyl-2-acetylglycerophosphocholinesterase	112040006
1-alkylglycerophosphocholinacetyltransferase	66153007
1-alkylglycerophosphocholinacyltransferase	73992009
1-Aminocyclopropan-1-carboxylatdeaminase	25574006
1-aminocyclopropan-1-carboxylatsynthase	61489005
1-bromo-2,3-epoxypropan	259127003
1-chloro-2,2,2-trifluoroethyldifluoromethyl-ether	259149009
1-chloro-2,3-epoxypropan	259150009
1-methyladenosinnucleosidase	67844008
1-methylhistidin	36434002
1-Phosphatidylinositol-4-phosphatkinase	36345000
1-Phosphatidylinositol-4,5-bisphosphatphosphodiesterase	15298004
1-Phosphatidylinositolkinase	27488009
1-phosphatidylinositolphosphodiesterase	7848009
1-Phosphofructokinase	46509002
1-piperidincyclohexancarbonitril	129481009
1-pyrrolin-4-hydroxy-2-carboxylatdeaminase	90350004
1-pyrrolin-5-carboxylatdehydrogenase	68803005
1, hydroxycholecalciferol	11984007
1,2-alpha-L-fucosidase	41401001
1,2-beta-fructan-1^F^-fructosyltransferase	67404005
1,2-cyklisk inositolphosphat-phosphodiesterase	48590000
1,2-diacylglycerol-3-beta-galactosyltransferase	70807006
1,2-diphenyldiazen	75842007
1,2-epoxybutan	259183002
1,25-dihydroxyvitamin D3	259333003
1,3-beta-glucan-phosphorylase	73388008
1,3-beta-glukansyntase	12085008
1,3-beta-oligoglucanphosphorylase	54994002
1,3-dioxolan	259181000
1,3-Propandioldehydrogenase	5705007
1,3,5-tris(2-hydroxyethyl)-hexahydrotriazin	255854006
1,4-alpha-glucan-6-alpha-glucosyltransferase	31278008
1,4-beta-D-xylansynthase	77597007
1,4-butanedioldiacrylat	256127004
1,4-lactonase	77610004
1,4-phenylenediamindihydrochlorid	255952009
1,6-dihydroxycyclohexa-2,4-dien-1-carboxylatdehydrogenase	68296001
1,6-hexamethylendiisocyanat	256123000
1,6-hexanedioldiacrylat	255911000
11-beta-hydroxyandrostenedion	65555004
11-beta-Hydroxysteroiddehydrogenase	46445002
11-deoxy-17-ketosteroid	103032001
11-deoxycorticosteron	1336006
11-Deoxycortisol	22941009
11-Deoxysteroid	103035004
11-hydroxyandrosteron	103046001
11-hydroxyetiocholanolon	103054004
11-ketoandrosteron	57244003
11-ketoetiocholanolon	103055003
11-ketopregnanetriol	103041006
11-oxopregnanetriol	116617008
11-oxy-17-ketosteroid	103039005
11-oxy-etiocholanolon	103038002
11-oxycorticosteroid	103036003
15-hydroxyprostaglandindehydrogenase (NAD^+^)	89307001
15-Hydroxyprostaglandindehydrogenase (NADP^+^)	49775007
16 alpha-hydroxydehydroepiandrosteronsulfat	259533002
16-alpha-hydroxysteroiddehydrogenase	29676009
16-hydroxysteroidepimerase	67687008
17-alpha-hydroxyprogesteron	409887006
17-alpha-hydroxyprogesteronaldolase	29282000
17-beta-estriol	312257000
17-Hydroxycorticosteroid	112116001
17-hydroxypregnenolon	27184001
17-hydroxyprogesteron	85751002
17-ketosteroid	46120009
17,21-dihydroxypregnenolon	84818007
18-hydroxycorticosteroid	103033006
18-hydroxycorticosteron	103034000
18-hydroxycortisol	116652000
18-hydroxycortison	116653005
18-hydroxydeoxycorticosteron	115580001
18-hydroxydeoxycortisol	115342001
1D-1-Guanidino-3-amino-1,3-dideoxy-scyllo-inositolaminotransferase	29414008
1H-benzotriazol	255989007
1L-myo-inositol-1-phosphatase	14306003
2-(2-hydroxy-5-methylphenyl)benzotriazol	255880007
2-(Acetamidomethylen)succinathydrolase	43803003
2-(chlormethyl)oxiran	117185003
2-Acetolactatmutase	37850005
2-Acylglycerol-3-phosphatacyltransferase	48830006
2-acylglycerophosphocholinacyltransferase	77387002
2-alkyn-1-ol-dehydrogenase	88949007
2-amino-4-hydroxy-6-hydroxymethyldihydropteridinpyrophosphokinase	63679008
2-Aminoadipataminotransferase	46084000
2-aminobutyrat	115343006
2-bromo-2-nitropropan-1,3-diol	255881006
2-chlor-1,1,2-trifluoroethyldifluoromethyl-ether	259146002
2-chlor-N-hydroxymethylacetamid	255855007
2-coumarat-O-beta-glucosyltransferase	88525002
2-Dehydro-3-deoxy-D-gluconat 6-dehydrogenase	27363002
2-Dehydro-3-deoxy-D-gluconat-5-dehydrogenase (NAD(P)^+^)	36863006
2-dehydro-3-deoxy-D-pentonataldolase	5548004
2-dehydro-3-deoxy-L-arabinonatdehydratase	83182008
2-Dehydro-3-deoxy-L-pentonataldolase	51364000
2-Dehydro-3-deoxygalactonokinase	23465009
2-Dehydro-3-deoxyglucarataldolase	42832007
2-Dehydro-3-deoxygluconokinase	38088008
2-dehydropantoatreductase	73279001
2-Dehydropantoyllactonreductase	64763007
2-Deoxy-D-gluconatdehydrogenase	23504007
2-dthylmalatsynthase	72507005
2-enoatreductase	14733001
2-ethoxyethanol	30986005
2-ethylhexyl-2-cyano-3,3-diphenylacrylat	69296007
2-ethylhexyl-p-methoxycinnamat	256173002
2-ethylhexylacrylat	256128009
2-Haloaciddehalogenase	57707004
2-hexadecenalreductase	67379002
2-hydroxy-3-oxoadipatsyntase	3405005
2-Hydroxy-3-oxopropionatreductase	41861005
2-hydroxy-4-karboxymuconat-6-semialdehyddehydrogenase	11427008
2-Hydroxyacylsphingosin-1-beta-galactosyltransferase	41528008
2-Hydroxycyclohexanon-2-monooxygenase	130070000
2-hydroxyethylacrylat	255912007
2-hydroxyethylmethacrylat	255913002
2-hydroxyglutaratdehydrogenase	438004
2-Hydroxyglutaratsyntase	24545008
2-hydroxypropylacrylat	256129001
2-hydroxypropylmethacrylat	255914008
2-Isopropylmalatsyntase	16458008
2-methoxyethanol	111094004
2-methoxyethanolacetat	62077001
2-Methylcitratdehydratase	15951000
2-methylcitratsynthase	75163007
2-Methylenglutaratmutase	15399005
2-monomethylol-phenol	256110007
2-n-octyl-4-isothiazolin-3-one	255990003
2-nitropropandioxygenase	70592003
2-oxoadipatreductase	89301000
2-oxoaldehyddehydrogenase	75062000
2-Oxobutyratsynthase	52162009
2-oxoglutaratsynthase	594001
2-Oxoisocaproat	115356004
2-oxoisovaleratdehydrogenase (acylerende)	591009
2-oxoisovaleratdehydrogenase (lipoamid)	77322005
2-Oxopent-4-enoathydratase	49733006
2-phenylbenzimidazol-5-sulphonsyre	256182008
2-phenylindol	256111006
2-phenylphenol	255991004
2-tert-butyl-4-methoxyphenol	255883009
2,2-Dialkylglycindecarboxylase (pyruvat)	23956008
2,2-dichloro-1,1-difluoroethylmethyl-ether	259165005
2,2,4-trimethyl-1,2-dihydroquinolin	256163004
2,3-Diaminopropionatoxalyltransferase	35192003
2,3-Dihydro-2,3-dihydroxybenzoat-dehydrogenase	25838007
2,3-Dihydroxybenzoat-2,3-dioxygenase	56282004
2,3-dihydroxybenzoat-3,4-dioxygenase	538001
2,3-dihydroxybenzoatserinligase	4674009
2,3-dihydroxyindol-2,3-dioxygenase	8953001
2,3-dimethylmalatlyase	78758004
2,3-Diphosphoglycerat	259542009
2,4-diaminopentanoatdehydrogenase	63222007
2,4-dichlorophenol-6-monooxygenase	87300005
2,4,5-trimethoxyamphetamin	77036005
2,5-diaminotoluensulfat	255948009
2,5-dihydroxypyridin-5,6-dioxygenase	63134005
2,5-dimethylfuran	259177000
2,5-Diokovaleratdehydrogenase	44120007
2,6-beta-fructan-6-levanbiohydrolase	57251007
2,6-dihydroxypyridin-3-monooxygenase	69904005
2',3'-cyklisk nukleotid-3'-phosphodiesterase	72766001
2',3'-cyklisk-nukleotid-2'-phosphodiesterase	68839004
20-hydroxyprogesteron	52422003
21-hydroxysteroiddehydrogenase (NAD^+^)	64055004
21-hydroxysteroiddehydrogenase (NADP^+^)	68430007
24,25-dihydroxyvitamin D3	259336006
25-hydroxyergocalciferol	67517005
3-(4-methylbenzyliden)-kamfer	256180000
3-(Imidazol-5-yl)lactatdehydrogenase	24824005
3-alpha-allo-tetrahydrocortisol	96331008
3-alpha-androstanediolglucuronid	103049008
3-alpha-Hydroxy-5-beta-androstan-17-one-3-alpha-dehydrogenase	51263009
3-alpha-hydroxycholanatdehydrogenase	88832004
3-alpha-Hydroxysteroiddehydrogenase	48102008
3-aminophenol	255943000
3-beta-androstanediol	116659009
3-beta-androstanediolglucuronid	115492004
3-beta-hydroxy-4-alpha-methylcholestencarboxylatdehydrogenase (decarboxylerende)	72433004
3-beta-hydroxy-delta-5-steroiddehydrogenase	81625003
3-beta-hydroxysteroiddehydrogenase	10162002
3-Carboxy-2-hydroxyadipatdehydrogenase	33797004
3-Carboxy-cis,cis-muconatcycloisomerase	53831001
3-Carboxyethylcatechol 2,3-dioxygenase	35293003
3-Chloro-D-alanindehydrochlorinase	41612005
3-cyanoalaninhydratase	70750005
3-Dehydro-L-gulonatdehydrogenase	112004009
3-Dehydroquinatdehydratase	42465006
3-Dehydroquinatsyntase	18290005
3-dehydroretinol	60244003
3-Dehydrosphinganinreductase	46610003
3-demethylubiquinon-9 3-methyltransferase	86640002
3-Deoxy-D-manno-octulosonataldolase	45622007
3-deoxy-manno-octulosonat-8-phosphatase	6890009
3-Deoxymannooctulosonatcytidylyltransferase	51437002
3-ethylmalatsynthase	78637000
3-fosfoshikimat-1-carboxyvinyltransferase	10641002
3-hydroxy-2-methylbutyryl-CoA-dehydrogenase	59072005
3-hydroxy-2-methylpyridin-4,5-dicarboxylat-4-decarboxylase	75849003
3-Hydroxy-2-methylpyridincarboxylatdioxygenase	23923007
3-Hydroxy-3-isohexenylglutaryl-CoA-lyase	21999008
3-Hydroxy-3-methylglutarat	115359006
3-hydroxyacyl-CoA-dehydrogenase	75239008
3-Hydroxyanthranilat 3,4-dioxygenase	19151006
3-Hydroxyanthranilatoxidase	22088006
3-hydroxyaspartataldolase	69654001
3-Hydroxybenzoat-2-monooxygenase	41499006
3-hydroxybenzoat-4-monooxygenase	74804008
3-hydroxybenzoat-6-monooxygenase	8882001
3-Hydroxybutyrat	115361002
3-hydroxybutyryl-CoA-dehydratase	70161007
3-hydroxybutyryl-CoA-dehydrogenase	82444001
3-Hydroxybutyryl-CoA-epimerase	45068006
3-hydroxydecanoyl-[acylbærerprotein]-dehydratase	18421002
3-hydroxyglutarat	115362009
3-hydroxyisobutyratdehydrogenase	231008
3-Hydroxyisobutyryl-CoA-hydrolase	29377009
3-Hydroxyisovalerat	115364005
3-hydroxymethylcephemcarbamoyltransferase	90724000
3-hydroxyoctanoyl-[acylbærerprotein]-dehydratase	69995001
3-hydroxypalmitoyl-[acylbærerprotein]-dehydratase	22880000
3-Hydroxypropionatdehydrogenase	35499002
3-isopropylmalatdehydratase	87882007
3-Isopropylmalatdehydrogenase	50096006
3-Mercaptopyruvatsulfurtransferase	20918008
3-methoxy-o-desmethylencainid	117150003
3-methyl-2-oxobutanoathydroxymethyltransferase	2671002
3-Methylcrotonylglycin	115368008
3-Methylenoxindolreductase	52973001
3-methylhistidin	3161008
3-O-methyldopa	117060005
3-Oxo-5beta-steroid delta^4^-dehydrogenase	18454000
3-oxoacyl-[acylbærerprotein]-reductase	28203004
3-oxoadipat-CoA-transferase	64263008
3-Oxoadipatenollactonase	57362005
3-Oxolauratdecarboxylase	25926002
3-oxosteroid-delta-1-dehydrogenase	506006
3-oxosyre-CoA-transferase	63006001
3-phosphoglyceratphosphatase	62601003
3-phosphoglyceroylphosphat-polyphosphat-phosphotransferase	3155005
3-phytase	77247009
3-propylmalatsyntase	7056008
3,3'-diiodothyronin	4844003
3,4-Dihydroxy-9,10-secoandrosta-1,3,5(10)-trien-9,17-dion-4,5-dioxygenase	31395003
3,4-dihydroxyphenylacetat-2,3-dioxygenase	72625007
3,4-methylendioxybenzylmethylketon	43989002
3,5-diiodothyronin	49427003
3'-nukleotidase	2354007
3'-phosphoadenylylsulphat-3'-phosphatase	7979007
3',5'-cyklisk GMP-phosphodiesterase	25978004
3',5'-cyklisk nukleotid-phosphodiesterase	5950004
3alpha,7alpha,12alpha-trihydroxycholestan-26-al26-dehydrogenase	39006003
4-acetamidobutyryl-CoA-deacetylase	61149006
4-alpha-Glucanotransferase	53990002
4-amino-N,N-diethylanilinsulfat	256061004
4-aminoazobenzen	256089001
4-aminobutansyrereceptor-antagonist	419450001
4-aminobutyrataminotransferase	81481004
4-aminobutyrataminotransferase-inhibitor	413354000
4-aminopyridin	80994002
4-aminoquinolin	406750006
4-androsten-3,17-dion-monooxygenase	75348001
4-Carboxymuconolactondecarboxylase	17900007
4-chlor-3-cresol	255884003
4-coumarat-CoA-ligase	4362003
4-Cresoldehydrogenase (hydroxylerende)	61529006
4-deoxy-L-threo-5-hexosuloseuronatketolisomerase	74131008
4-Enoyl-CoA-reductase (NADPH)	55813000
4-hydroxy-2-oxoglutarataldolase	87625009
4-hydroxy-4-methyl-2-oxoglutarataldolase	67594004
4-hydroxyalprazolam	123010001
4-hydroxybenzoatdekarboxylase	8705006
4-Hydroxybutyrat	259470008
4-Hydroxybutyratdehydrogenase	47562002
4-hydroxycumarin	31011004
4-Hydroxyglutamataminotransferase	23677009
4-Hydroxymandelatoxidase	28451009
4-Hydroxyphenylacetat-1-monooxygenase	48110009
4-hydroxyphenylacetat-3-monooxygenase	77242003
4-hydroxyphenylpyruvatdioxygenase	75368007
4-hydroxyprolinepimerase	6970001
4-methoxyamphetamin	87251002
4-Methoxybenzoatmonooxygenase (O-demethylerende)	21380007
4-methylenglutamat--ammoniakligase	130919006
4-Methyloxaloacetatesterase	15917004
4-Nitrophenylphosphatase	112042003
4-oxoprolinreductase	16164008
4-pyridoxolactonase	59951009
4-tert-butylbenzoesyre	255993001
4-tert-butylcatechol	255626001
4-tert-butylphenolformaldehydresin	256165006
4-tertiary-butyl-4'-methoxy-dibenzoylmetan	256171000
4-Trimethylammoniobutyraldehyddehydrogenase	19734009
4,4'-dihydroxybiphenyl	256140009
4,5-Dihydroxyphthalatdecarboxylase	56774003
5-alpha-hydroxysteroiddehydratase	71730000
5-alpha-reductaseinhibitor	406757009
5-alpha-tetrahydrocortisol	117492000
5-Amino-6-(5-phosphoribosylamino) uracilreductase	16229007
5-aminolevulinatsynthase	79685006
5-Aminolevulinsyre	259496005
5-aminopentanamidase	75405006
5-aminovalerataminotransferase	81312003
5-azacytidin	88551000
5-carboxymethyl-2-hydroxymuconat-delta-isomerase	82017002
5-dehydro-2-deoxygluconokinase	85268004
5-dehydro-4-deoxyglucaratdehydratase	69513001
5-Formyltetrahydrofolatcycloligase	112065008
5-HT>3<receptorantagonist	372486003
5-hydroxyfuranocoumarin-O^5^-methyltransferase	59231001
5-hydroxytryptophan	73916008
5-lipoxygenase-inhibitor	108934000
5-Methyldeoxycytidin-5'-phosphatkinase	33524001
5-Methyltetrahydrofolat-homocysteinmethyltransferase	12117006
5-methyltetrahydropteroyltriglutamathomocysteinmethyltransferase	85661000
5-Methylthioribosekinase	50767004
5-Oxopent-3-ene-1,2,5-tricarboxylatdecarboxylase	22403009
5-oxoprolinase (ATP-hydrolyserende)	59241003
5-oxoprolylpeptidase	89371001
5-pyridoxatdioxygenase	85508003
5-trimethoxyamphetamin	47901003
5,10-methylentetrahydrofolatreductase (FADH>2<)	37662007
5,25-dihydroxycholecalciferol	87116002
5'-Acylphosphoadenosinhydrolase	36704006
5'-Methylthioadenosinphosphorylase	112033005
5'-nucleotidase	80222004
6-Acetylglucosedeacetylase	31543007
6-Aminohexanoat-cyklisk-dimer-hydrolase	15217008
6-Aminohexanoat-dimer-hydrolase	4201006
6-beta-hydroxycortisol	62352008
6-beta-naltrexol	116562004
6-carboxyhexanoat-CoA-ligase	1530004
6-fosfofrukto-2-kinase	9623003
6-fosfofruktokinase	6478000
6-Hydroxynicotinatreductase	112012001
6-ketoprostaglandin PGF>1<	28983006
6-methylcoumarin i alkohol	256046000
6-Methylsalicylatdecarboxylase	31876004
6-O-monoacetylmorphin	118290009
6-Phospho 2-dehydro-3-deoxygalactonataldolase	50550009
6-phospho-beta-galactosidase	83087004
6-phospho-beta-glucosidase	90018004
6-Phosphogluconolactonase	30411002
6-phytase	69306002
7-alpha-hydroxysteroiddehydrogenase	61617007
7-aminoflunitrazepam	117493005
7-beta-hydroxysteroiddehydrogenase (NADP^+^)	15327000
7-dehydrocholesterolreductase	78796003
7,8-dihydroxykynurenat-8,8a-dioxygenase	72460006
8-Amino-7-oxononanoatsyntase	26598009
8-aminoquinolin	406751005
8-hydroxyamoxapin	96202006
8-Hydroxyfuranocoumarin-O^8^-methyltransferase	17773002
8-hydroxyloxapin	116883003
8-hydroxyquinolin	77245001
9-hydroxyrisperidon	117004004
a-type natriuretisk peptid	30326004
A-vitamin	82622003
A-vitaminpalmitat	422160004
Abacavir	387005008
abacavir og derivater	412030005
abacavirsulfat	412074007
abarelix	407128008
abatacept	421777009
abciximab	386951001
Abequosyltransferase	46187009
abietinsyre	255994007
abitol	255885002
Abnorm hæmoglobin, gammakædevariant	17903009
Abnorm hæmoglobin, multiple punktmutationer	16022005
abnormt fibrinogen	30990007
abnormt hemoglobin med fusionsdefekt	52293000
Abnormt hæmoglobin, alfakædevariant	35488004
abnormt hæmoglobin, aminosyrerestdeletion	28963005
Abnormt hæmoglobin, betakædevariant	40830007
Abnormt hæmoglobin, forlænget kæde	82873009
absint	311455009
acamprosat	391698009
acamprosatcalcium	391699001
Acarbose	386965004
acarboxykoagulationsfaktor VII	103238007
acarboxykoagulationsfaktor VII-antigen	121211003
acarboxykoagulationsfaktor X	103239004
acarboxyprotein C	103249001
acarboxyprotein S	103250001
acaricid	24686008
acebutolol	372815001
Acebutololhydrochlorid	3597005
Acecainid	96296002
aceclofenac	391703003
acemannan	125724005
acemetacin	391704009
Acenocoumarol	387457003
Acepromazin	96218000
acepromazinmaleat	412076009
acetal	72802008
Acetaldehyd	38705000
Acetaldehyddehydrogenase (acetylerende)	66726001
Acetarsol	22236007
Acetat	54526002
Acetat-CoA-ligase	72955003
Acetat-CoA-ligase (ADP-dannende)	43041009
Acetat-CoA-transferase	17334004
Acetatkinase	3800009
Acetatkinase (pyrophosphat)	69055001
Acetazolamid	372709008
Acetazolamidnatrium	72469007
Acethydroxamsyre	387426003
Acetoacetat	115377001
Acetoacetat-CoA-ligase	82222009
Acetoacetatdecarboxylase	19023004
Acetoacetyl-CoA-hydrolase	43494008
acetoacetyl-CoA-reductase	14802009
Acetohexamid	387210001
Acetoindehydrogenase	70588005
Acetoinracemase	13074000
Acetolactatdecarboxylase	89203004
Acetolactatsynthase	49354001
Acetone	4370008
Acetonitril	17229000
Acetophenazin	35281007
Acetophenazinmaleat	67029008
acetosulfon	21168008
Acetyl-CoA-acetyltransferase	53914007
Acetyl-CoA-acyltransferase	81255001
Acetyl-CoA-carboxylase	77832006
Acetyl-CoA-carboxylasephosphatase	87718005
Acetyl-CoA-hydrolase	34057001
acetylcarbromal	108389007
Acetylcholin	57308006
Acetylcholinchlorid	387496009
Acetylcholinesterase	23573002
Acetylcholinreceptorantistof	103189000
Acetylcystein	387440002
Acetyldiaminopimelatdeacetylase	78073006
Acetyldigitoxin	7834009
Acetylencarboxylathydratase	20371000
Acetylendicarboxylathydratase	53468009
Acetylesterase	54901002
acetylgalactosaminyl-O-glycosylglycoprotein-beta-1,3-N-acetylglucosaminyltransferase	50221003
Acetylglutamatkinase	87304001
Acetylindoxyloxidase	36322006
Acetylornithinaminotransferase	79568003
Acetylornithindeacetylase	70170005
Acetylpyruvathydrolase	24945004
acetylsalicylat	60526005
acetylsalicylsyre	387458008
Acetylserotoninmethyltransferase	60424006
Acetylspermidindeacetylase	70282007
Achromobacter iophogus-collagenase	85584004
Achromobacter-proteinase I	13232003
acipimox	391711008
Acitretin	386938006
aclarubicin	391713006
aclarubicinhydrochlorid	391714000
Aconitat-delta-isomerase	44125002
Aconitatdecarboxylase	112056001
Aconitathydratase	54239002
acridinazofarvestof	391715004
acriflavin	412535007
acriflavinhydrochlorid	412536008
acrisorcin	34113002
acrivastin	391716003
Acrosin	566009
Actinidin	14660002
Actinomycinlactonase	59501008
activin A	413434000
activin AB	413435004
activin B	413436003
activinhormon	30145004
acyclovir	372729009
acyclovirnatrium	72387009
acyl-[acylbærerprotein]-desaturase	84671009
acyl-[acylbærerprotein]-phospholipid-acyltransferase	16842002
Acyl-CoA syntetase (GDP-dannende)	7139002
Acyl-CoA-dehydrogenase	38410000
Acyl-CoA-dehydrogenase (NADP^+^)	61298005
Acyl-CoA-desaturase	35866008
Acylagmatinamidase	62265002
Acylaminopenicillin	373274008
Acylaminosyrefrigørende enzym	32216001
acylbærerprotein-acetyltransferase	79242009
acylbærerprotein-phosphodiesterase	65988004
Acylcarnitinhydrolase	371001
Acylglycerolkinase	78232003
Acylglycerollipase	38652002
Acylglycerolpalmitoyltransferase	30286004
acylglyceronphosphatreductase	31109005
Acyllysindeacylase	54871002
Acylmuramoylalanincarboxypeptidase	29332007
Acylneuraminatcytidylyltransferase	65665003
acylphosphatase	57442001
Acylphosphathexosephosphotransferase	79166007
Acylpyruvathydrolase	39212003
adalimumab	407317001
Adapalen	386934008
adefovir	412072006
adefovirdipivoxil	409114008
adenin	70203000
Adenindeaminase	51622009
Adeninphosphoribosyltransferase	83334005
adenosin	35431001
Adenosindeaminase	30065008
Adenosindiphosphat	49745002
Adenosinfosfatdeaminase	1472000
Adenosinkinase	56363005
Adenosinnucleosidase	50533007
Adenosinphosphat	54941006
Adenosintetraphosphatase	14843009
Adenosintriphosphatase	38854003
Adenosylcobalamin	259509008
Adenosylhomocysteinase	44931000
Adenosylhomocysteinnucleosidase	78650004
Adenosylmethionin-8-amino-7-oxononanoataminotransferase	54401008
Adenosylmethionincyclotransferase	24660003
Adenosylmethionindecarboxylase	974001
Adenosylmethioninhydrolase	82412000
Adenosyltransferase	312203007
Adenovirusantistof	120726005
Adenylatcyclase	4105008
Adenylatisopentenyltransferase	58955007
Adenylatkinase	20914005
Adenylosuccinatlyase	41613000
Adenylosuccinatsyntase	37346006
Adenylsyre	4864008
adenylyl-[glutamat-ammoniak-ligase]-hydrolase	40971002
Adenylylsulfatammoniakadenylyltransferase	83188007
Adenylylsulfatase	14376002
Adenylylsulfatkinase	8761000
Adenylylsulfatreductase	47900002
Adiphenin	21394008
adiponectin	413451007
ADP-deaminase	4540002
ADP-kulhydrat-diphosphatase	14860004
ADPfosfoglyceratfosfatase	10838009
ADPribosepyrophosphatase	29754006
Adrenalin	387362001
adrenochrom	360245004
adrenochromderivat	419669004
adrenocorticotrop hormonprækursor	259338007
Advocaat	226527009
Aeromonas proteolytica-aminopeptidase	662003
afrodisiakum	39069007
Agarase	29285003
Agaritin-gamma-glutamyltransferase	112027001
agarose	256227006
Agavain	62506000
Agkistrodonserinproteinase	43848004
aglycon	35135004
Agmatin-4-coumaroyltransferase	90193007
Agmatinase	69674008
Agmatindeiminase	32759007
Agmatinkinase	21607001
Agrokemisk biocid	259105007
akaciestof	43987000
aklomid	96145006
Aktiveret koagulationsfaktor	116188009
aktiveret protein C-inhibitor	117168000
aktivt attapulgit	17917000
aktivt kul	32519007
Akutfaseprotein	91309004
Akvatisk toxin	314560007
Alanin	58753009
Alanin-tRNA-ligase	68429002
alaninaminotransferase	56935002
Alanincarboxypeptidase	40744007
Alanindehydrogenase	112013006
Alaninoxomalonataminotransferase	66234008
Alaninoxosyreaminotransferase	61871004
Alaninracemase	9582000
Alanopindehydrogenase	79862007
Alanylphosphatidylglycerolsyntase	40581008
alatrofloxacinmesylat	116543002
Albendazol	387558006
Albumin	52454007
albuminbundet paclitaxel	426653008
albuminbundet thyroxin	115497005
Alclometason	395956000
Alclometasondipropionat	38684009
alcloxa	391725009
Alcoholdehydrogenase (NAD(P)^+^)	79211004
Alcuronium	395958004
alcuroniumchlorid	391726005
Aldehyd	60530008
Aldehyddehydrogenase (acceptor)	3392003
Aldehyddehydrogenase (NAD^+^)	39276009
Aldehyddehydrogenase (NAD(P)^+^)	75272008
Aldehyddehydrogenase (NADP^+^)	30363008
Aldehydoxidase	85351000
aldehydreductase	36028002
Aldesleukin	386917000
aldose	116258009
Aldose 1-epimerase	21966006
Aldose-6-phosphatreductase (NADPH)	82906001
Aldosedehydrogenase	80506001
Aldosteron	42605004
Aldosteronantagonister	372603003
alefacept	398691006
alemtuzumab	129472003
alendronat	96290008
alendronatnatrium	391729003
alendronsyre	391730008
alexitolnatrium	391731007
Alfa 1-adrenerg blokker	372842000
Alfa 2-adrenerg agonist	372548005
alfa 2-adrenerg blokker	372597001
Alfa-2-globulin	259618000
alfa-2-makroglobulin	42549007
Alfa-adrenerg blokker	373275009
