drugid	drugname	substans	conceptid
28100913877	Canesten	CLOTRIMAZOL	387325003
28100423962	Haldid	FENTANYL	373492002
28101164183	Contalgin	MORPHINSULFAT	60886004
28101837196	Divina Plus	ESTRADIOLVALERAT	96350008
28101941197	Rozex	METRONIDAZOL	372602008
28101753895	Imigran	SUMATRIPTANSUCCINAT	96215002
28104201907	Metformin "Sandoz"	METFORMINHYDROCHLORID	109083009
28100611372	Androcur	CYPROTERONACETAT	126120000
28104710210	Ramipril "Krka"	RAMIPRIL	386872004
28100435763	Provera	MEDROXYPROGESTERONACETAT	126112002
28101697494	Uromitexan	MESNA	386922000
28104247807	Vancomycin "Sandoz"	VANCOMYCINHYDROCHLORID	66509009
28103430502	Bondronat	IBANDRONSYRE	420936009
28103466703	Physioneal 40 Glucose Clear-F	MAGNESIUMCHLORIDHEXAHYDRAT	116128006
28103970706	Trandolapril "Orifarm"	TRANDOLAPRIL	386871006
28103775305	Mixamin Glucos 200 mg/ml	MAGNESIUMCHLORIDHEXAHYDRAT	116128006
28101397890	Uniloc	ATENOLOL	387506000
28104342708	Targin	OXYCODONHYDROCHLORID	387024006
28101914697	NeoRecormon	EPOETIN BETA	396043004
28103008198	Maxalt Smelt	RIZATRIPTANBENZOAT	108412008
28104624010	Lacipil	LACIDIPIN	395764001
28103908806	Lamisil Once	TERBINAFINHYDROCHLORID	108927002
28103775405	Mixamin Glucos 120 mg/ml	Tyrosin	27378009
28101415990	Actilyse	ALTEPLASE	387152000
28104450408	Losartanka./HClthiazid "Krka"	LOSARTANKALIUM	108582002
28103817405	Glimepirid "KRKA"	GLIMEPIRID	386966003
28101133883	Vamin 14 g N/l Elektrolytfri	METHIONIN	70288006
28104285908	Canvag	CLOTRIMAZOL	387325003
28103587803	Canesten	CLOTRIMAZOL	387325003
28101294387	Imurel	AZATHIOPRIN	372574004
28104762210	Lomir Retard	ISRADIPIN	386862002
28104623109	Betnovate	BETAMETHASONVALERAT	396005002
28101390389	Lamictal	LAMOTRIGIN	387562000
28103292601	Perfalgan	PARACETAMOL	387517004
28104540409	Olimel N9	Serin	14125007
28103466503	Physioneal 40 Glucose Clear-F	NATRIUMHYDROGENCARBONAT	387319002
28101001856	Carbocain	MEPIVACAINHYDROCHLORID	65741009
28104612009	Zyvoxid	LINEZOLID	387056004
28101262486	Ringer-acetat "Fresenius Kabi"	KALIUMCHLORID	8631001
28104201307	Hesra	MAGNESIUMCHLORIDHEXAHYDRAT	116128006
28103871405	Lamotrigin "Teva"	LAMOTRIGIN	387562000
28104373808	Anastrozol "Bluefish"	ANASTROZOL	386910003
28104769110	Maxalt	RIZATRIPTANBENZOAT	108412008
28101557393	Iomeron	IOMEPROL	395753004
28101715494	Clarinase	Pseudoephedrinsulfat	10595003
28100675675	Ringer-lactat "Fresenius Kabi"	NATRIUMCHLORID	387390002
28103517603	Cefotaxim "Stragen"	CEFOTAXIMNATRIUM	41722006
28103922406	Imadrax Novum	AMOXICILLINTRIHYDRAT	96068000
28103204600	balance2,3%glucos.1,25mmolCa/l	MAGNESIUMCHLORIDHEXAHYDRAT	116128006
28100917477	Atamir	PENICILLAMIN	387235007
28103363502	Fluconazol "Nycomed"	FLUCONAZOL	387174006
28104507109	Arthrotec	MISOPROSTOL	387242007
28103342702	Felodin	FELODIPIN	386863007
28103812605	Xyzal	Levocetirizindihydrochlorid	425461004
28101109682	Sandimmun	CICLOSPORIN	387467008
28100643374	Leponex	CLOZAPIN	387568001
28101053180	Zinacef	CEFUROXIMNATRIUM	48753004
28104263708	Baklofen "2care4"	BACLOFEN	387342009
28101847496	Rhinocort Aqua	BUDESONID	395726003
28103902705	Matrifen	FENTANYL	373492002
28104011906	Pabal	CARBETOCIN	425003007
28101773295	Clinimix N9G15E	METHIONIN	70288006
28101674394	Panodil	PARACETAMOL	387517004
28101042380	Aminoplasmal	KALIUMACETAT	52394008
28104540509	Vesicare	Solifenacinsuccinat	426324001
28101141383	Cardizem	DILTIAZEMHYDROCHLORID	12218006
28101136583	Ventoline	SALBUTAMOLSULFAT	48474002
28104643910	Eligard	LEUPRORELINACETAT	70562007
28103275901	Nicotinell Lakrids	Nicotin	68540007
28101278786	Baklofen "Mylan"	BACLOFEN	387342009
28100713476	Fenemal "DLF"	PHENOBARBITAL	373505007
28104371308	SmofKabiven Perifer	PROLIN	52541003
28104203007	OxyContin	OXYCODONHYDROCHLORID	387024006
28103457102	Prismasol 2 mmol/l kalium	KALIUMCHLORID	8631001
28104110207	Moxalole	KALIUMCHLORID	8631001
28101451191	Emla	PRILOCAIN	387107003
28103451402	Rimstar	RIFAMPICIN	387159009
28101334988	Tenidon	CHLORTALIDON	387324004
28101383289	Kalium-natrium-glucose "Braun"	NATRIUMCHLORID	387390002
28101784995	Glavamin	ALANIN	58753009
28104110307	Losartankalium "Orifarm"	LOSARTANKALIUM	108582002
28103775405	Mixamin Glucos 120 mg/ml	KALIUMHYDROXID	34763001
28104585409	Leflunomide medac	LEFLUNOMID	386981009
28103357502	Arcoxia	ETORICOXIB	409134009
28103204400	balance1,5%glucos.1,25mmolCa/l	NATRIUMCHLORID	387390002
28101824196	Xefo	Lornoxicam	412013008
28104081907	Fludarabinphosphat "Actavis"	FLUDARABINPHOSPHAT	108765002
28103880805	Tostran	TESTOSTERON	43688007
28100327560	Centyl med Kaliumklorid	KALIUMCHLORID	8631001
28100568970	Bleomycin "Baxter"	BLEOMYCINSULFAT	15660006
28103424202	Ramipril "Stada"	RAMIPRIL	386872004
28104106007	Tamiflu	OSELTAMIVIRPHOSPHAT	116113006
28103809905	Strattera	ATOMOXETINHYDROCHLORID	412577007
28104540009	Olimel N5E	HISTIDIN	60260004
28104120207	Ancozan	LOSARTANKALIUM	108582002
28103775405	Mixamin Glucos 120 mg/ml	Threonin	52736009
28104270507	SmofKabiven elektrolytfri	Threonin	52736009
28101535792	Prohance	GADOTERIDOL	420600009
28103554103	Simvastatin "Arrow"	SIMVASTATIN	387584000
28101145883	Lopid	GEMFIBROZIL	387189002
28104697410	Protaminsulfat LEO Pharma	PROTAMINSULFAT	64520006
28101055980	Marvelon	Ethinylestradiol	126097006
28101443691	Difenet	DICLOFENACNATRIUM	62039007
28101877397	Optiray	IOVERSOL	395759000
28104569109	Galieve Cool Mint	NATRIUMALGINAT	75876003
28100474965	Synalar 0,025 % med Chinoform	Fluocinolonacetonid	396059004
28101706194	Sandostatin Lar	OCTREOTIDACETAT	109055007
28103104999	NeoRecormon	EPOETIN BETA	396043004
28100560069	Bricanyl	TERBUTALINSULFAT	24583009
28104246807	Qlaira	ESTRADIOLVALERAT	96350008
28104153607	Kaletra	LOPINAVIR	387067003
28103626204	StructoKabiven Perifer	Tryptophan	54821000
28101773695	Clinimix N17G35E	NATRIUMCHLORID	387390002
28101728894	Buventol Easyhaler	SALBUTAMOLSULFAT	48474002
28103231301	Ranitidin "Ratiopharm"	RANITIDINHYDROCHLORID	24202000
