Begrebs ID;Fuldt specificerende term;Foretrukken term ID;Foretrukken term;; 
294513009;Antipseudomonal penicillins allergy (disorder);4145301000005110;allergi over for penicilliner mod pseudomonas;;
294516001;Azlocillin allergy (disorder);3982001000005110;allergi over for azlocillin;;
294518000;Carfecillin allergy (disorder);3982011000005110;allergi over for carfecillin;;
294515002;Piperacillin allergy (disorder);3982021000005110;allergi over for piperacillin;;
294514003;Temocillin allergy (disorder);3982031000005110;allergi over for temocillin;;
294517005;Ticarcillin allergy (disorder);3982041000005110;allergi over for ticarcillin;;
294504007;Broad spectrum penicillins allergy (disorder);3982051000005110;allergi over for bredspektrede penicilliner;;
294505008;Amoxycillin allergy (disorder);4145341000005110;allergi over for amoxicillin;;
294506009;Ampicillin allergy (disorder);3951141000005110;allergi over for ampicillin;;
294511006;Bacampicillin allergy (disorder);3982061000005110;allergi over for bacampicillin;;
294510007;Carbenicillin allergy (disorder);3982071000005110;allergi over for carbenicillin;;
294507000;Ciclacillin allergy (disorder);4207961000005110;allergi over for ciclacillin;;
294508005;Mezlocillin allergy (disorder);3982081000005110;allergi over for mezlocillin;;
294509002;Pivampicillin allergy (disorder);3951151000005110;allergi over for pivampicillin;;
294512004;Talampicillin allergy (disorder);3982091000005110;allergi over for talampicillin;;
294521003;Combined penicillin preparation allergy (disorder);3951161000005110;allergi over for kombinationspræparat med penicillin;;
294519008;Mecillinam allergy (disorder);3949231000005110;allergi over for mecillinam;;
294520002;Pivmecillinam allergy (disorder);3949241000005110;allergi over for pivmecillinam;;
294500003;Penicillinase-resistant penicillins allergy (disorder);3951181000005110;allergi over for penicillinaseresistente penicilliner;;
294501004;Cloxacillin allergy (disorder);3982131000005110;allergi over for cloxacillin;;
294502006;Flucloxacillin allergy (disorder);3982121000005110;allergi over for flucloxacillin;;
294524006;Ampicillin + flucloxacillin allergy (disorder);434801014;Co-fluampicil allergy;;
294503001;Methicillin allergy (disorder);3951201000005110;allergi over for methicillin;;
294492003;Penicillinase-sensitive penicillins allergy (disorder);3951191000005110;allergi over for penicillinasefølsomme penicilliner;;
294494002;Benethamine penicillin allergy (disorder);4098291000005110;allergi over for benethaminpenicillin;;
294499007;Benzylpenicillin allergy (disorder);4098321000005110;allergi over for benzylpenicillin;;
294495001;Benzathine penicillin allergy (disorder);4098301000005110;allergi over for benzathinpenicillin;;
294498004;Procaine penicillin allergy (disorder);4239691000005110;allergi over for benzylpenicillin, procain;;
294496000;Phenethicillin allergy (disorder);3982141000005110;allergi over for phenethicillin;;
294497009;Phenoxymethylpenicillin allergy (disorder);4098311000005110;allergi over for phenoxymethylpenicillin;;
294462007;Aminoglycosides allergy (disorder);3951211000005110;allergi over for aminoglycosider;;
294463002;Amikacin allergy (disorder);3982151000005110;allergi over for amikacin;;
294469003;Gentamicin allergy (disorder);3953301000005110;allergi over for gentamicin;;
294464008;Kanamycin allergy (disorder);3951221000005110;allergi over for kanamycin;;
294465009;Netilmicin allergy (disorder);3982161000005110;allergi over for netilmicin;;
294474006;Spectinomycin allergy (disorder);4098341000005110;allergi over for spectinomycin;;
294466005;Streptomycin allergy (disorder);3951251000005110;allergi over for streptomycin;;
409638006;Streptomycin sulfate allergy (disorder);3714221000005110;allergi over for streptomycinsulfat;;
294470002;Tobramycin allergy (disorder);4098331000005110;allergi over for tobramycin;;
294605002;Antimycobacterial agent allergy (disorder);4098351000005110;allergi over for antimykobakterielt middel;;
91939003;Allergy to sulfonamides (disorder);3806401000005110;allergi over for sulfonamider;;
429239002;Allergy to sulfonamide antibiotic (disorder);4357071000005110;allergi over for antibiotikum indeholdende sulfonamid;;
294570004;Calcium sulfaloxate allergy (disorder);4256651000005110;allergi over for calciumsulfaloxat;;
294581001;Combined sulfonamides allergy (disorder);3951261000005110;allergi over for kombinerede sulfonamider;;
294579003;Mafenide allergy (disorder);4098431000005110;allergi over for mafenid;;
294571000;Phthalylsulfathiazole allergy (disorder);4098421000005110;allergi over for phthalylsulfathiazol;;
294580000;Silver sulfadiazine allergy (disorder);4098441000005110;allergi over for sølvsulfadiazin;;
294582008;Sulfacetamide allergy (disorder);3951271000005110;allergi over for sulfacetamid;;
294573002;Sulfadiazine allergy (disorder);4098451000005110;allergi over for sulfadiazin;;
294574008;Sulfadimethoxine allergy (disorder);4098471000005110;allergi over for sulfadimethoxin;;
294575009;Sulfadimidine allergy (disorder);4098481000005110;allergi over for sulfadimidin;;
294576005;Sulfafurazole allergy (disorder);4098491000005110;allergi over for sulfafurazol;;
294577001;Sulfaguanidine allergy (disorder);4098501000005110;allergi over for sulfaguanidin;;
294572007;Sulfametopyrazine allergy (disorder);4098511000005110;allergi over for sulfametopyrazin;;
294578006;Sulfaurea allergy (disorder);4150981000005110;allergi over for sulfaurinstof;;
294616009;Antileprotic drug allergy (disorder);4098461000005110;allergi over for lægemiddel mod spedalskhed;;
294618005;Clofazimine allergy (disorder);4098631000005110;allergi over for clofazimin;;
294606001;Antituberculous drug allergy (disorder);3949591000005110;allergi over for antituberkuløst lægemiddel;;
294608000;Antibiotic antituberculosis drug allergy (disorder);4150991000005110;allergi over for antibiotisk middel mod tuberkulose;;
294609008;Capreomycin allergy (disorder);4101831000005110;allergi over for capreomycin;;
294610003;Cycloserine allergy (disorder);4101841000005110;allergi over for cycloserin;;
294612006;Rifabutin allergy (disorder);4101851000005110;allergi over for rifabutin;;
294611004;Rifampicin allergy (disorder);3949601000005110;allergi over for rifampicin;;
294615008;Ethambutolol allergy (disorder);4101861000005110;allergi over for ethambutol;;
294613001;Hydrazide antituberculosis drug allergy (disorder);4225941000005110;allergi over for tuberkulosemiddel indeholdende hydrazid;;
294614007;Isoniazid allergy (disorder);3951351000005110;allergi over for isoniazid;;
294607005;Pyrazinamide allergy (disorder);3951341000005110;allergi over for pyrazinamid;;
294531005;Carbapenem allergy (disorder);4101871000005110;allergi over for carbapenem;;
441725009;Allergy to ertapenem (disorder);4618471000005110;allergi over for ertapenem;;
442408006;Allergy to imipenem (disorder);4620341000005110;allergi over for imipenem;;
442022002;Allergy to meropenem (disorder);4619401000005110;allergi over for meropenem;;
294532003;Cephalosporin allergy (disorder);3951311000005110;allergi over for cephalosporin;;
294533008;First generation cephalosporin allergy (disorder);3951321000005110;allergi over for førstegenerationscephalosporin;;
294534002;Cefadroxil allergy (disorder);4101881000005110;allergi over for cefadroxil;;
294535001;Cephalexin allergy (disorder);3951331000005110;allergi over for cephalexin;;
294536000;Cephalothin allergy (disorder);4101891000005110;allergi over for cephalothin;;
294537009;Cephazolin allergy (disorder);4256661000005110;allergi over for cefazolin;;
294538004;Cephradine allergy (disorder);4101901000005110;allergi over for cefradin;;
294555000;Fourth generation cephalosporin allergy (disorder);4156631000005110;allergi over for fjerdegenerations-cephalosporin;;
294556004;Cefpirome allergy (disorder);4101911000005110;allergi over for cefpirom;;
294540009;Second generation cephalosporin allergy (disorder);3951361000005110;allergi over for andengenerationscephalosporin;;
294541008;Cefaclor allergy (disorder);4101921000005110;allergi over for cefaclor;;
294558003;Cefoxitin allergy (disorder);4101931000005110;allergi over for cefoxitin;;
294542001;Cefuroxime allergy (disorder);4101941000005110;allergi over for cefuroxim;;
294543006;Cephamandole allergy (disorder);4101951000005110;allergi over for cefamandol;;
294557008;Cephamycin allergy (disorder);4256671000005110;allergi over for kefamycin;;
294544000;Third generation cephalosporin allergy (disorder);4207971000005110;allergi over for tredjegenerations-cephalosporin;;
294548002;Cefixime allergy (disorder);4101961000005110;allergi over for cefixim;;
294549005;Cefodizime allergy (disorder);4101971000005110;allergi over for cefodizim;;
294545004;Cefotaxime allergy (disorder);4102061000005110;allergi over for cefotaxim;;
294550005;Cefpodoxime allergy (disorder);4102071000005110;allergi over for cefpodoxim;;
294554001;Cefsulodin allergy (disorder);4102081000005110;allergi over for cefsulodin;;
294546003;Ceftazidime allergy (disorder);4102091000005110;allergi over for ceftazidim;;
294552002;Ceftibuten allergy (disorder);4102101000005110;allergi over for ceftibuten;;
294547007;Ceftizoxime allergy (disorder);4102111000005110;allergi over for ceftizoxim;;
294551009;Ceftriaxone allergy (disorder);4102121000005110;allergi over for ceftriaxon;;
294593005;Chloramphenicol allergy (disorder);3951421000005110;allergi over for chloramphenicol;;
294559006;Fosfomycin allergy (disorder);3951391000005110;allergi over for fosfomycin;;
294482006;Fusidic acid allergy (disorder);3951381000005110;allergi over for fusidinsyre;;
294473000;Sodium fusidate allergy (disorder);4102161000005110;allergi over for natriumfusidat;;
294539007;Latamoxef allergy (disorder);4102151000005110;allergi over for latamoxef;;
294560001;Lincomycin and derivatives allergy (disorder);4156681000005110;allergi over for lincomycin og derivater deraf;;
294561002;Clindamycin allergy (disorder);3951401000005110;allergi over for clindamycin;;
294562009;Lincomycin allergy (disorder);3951411000005110;allergi over for lincomycin;;
294563004;Mandelic acid allergy (disorder);3951481000005110;allergi over for mandelsyre;;
294564005;Monobactam allergy (disorder);4102131000005110;allergi over for monobactam;;
294565006;Aztreonam allergy (disorder);4102141000005110;allergi over for aztreonam;;
294478009;Nitrofurantoin allergy (disorder);3951461000005110;allergi over for nitrofurantoin;;
294528009;Polymyxins allergy (disorder);3951471000005110;allergi over for polymyxiner;;
294529001;Colistin allergy (disorder);4102231000005110;allergi over for colistin;;
294476008;Teicoplanin allergy (disorder);4102221000005110;allergi over for teicoplanin;;
294583003;Tetracyclines group allergy (disorder);4160461000005110;allergi over for stof tilhørende tetracyclingruppen;;
294590008;Chlortetracycline allergy (disorder);3951501000005110;allergi over for chlortetracyclin;;
294584009;Clomocycline sodium allergy (disorder);4256681000005110;allergi over for clomocyclin natrium;;
294589004;Compound tetracycline preparations allergy (disorder);3951541000005110;allergi over for kombinationspræparater med tetracyclin;;
294591007;Demeclocycline allergy (disorder);4102241000005110;allergi over for demeclocyclin;;
294586006;Lymecycline allergy (disorder);4102251000005110;allergi over for lymecyclin;;
294587002;Minocycline allergy (disorder);4102601000005110;allergi over for minocyclin;;
294588007;Oxytetracycline allergy (disorder);4102261000005110;allergi over for oxytetracyclin;;
294592000;Tetracycline allergy (disorder);3951551000005110;allergi over for tetracyclin;;
409639003;Tetracycline hydrochloride allergy (disorder);3714231000005110;allergi over for tetracyclinhydrochlorid;;
294477004;Trimethoprim allergy (disorder);3951531000005110;allergi over for trimethoprim;;
294475007;Vancomycin allergy (disorder);3951521000005110;allergi over for vancomycin;;
294340008;Antifungal drug allergy (disorder);3951511000005110;allergi over for antimykotika;;
294346002;Amorolfine allergy (disorder);4102271000005110;allergi over for amorolfin;;
294349009;Amphotericin allergy (disorder);4102281000005110;allergi over for amphotericin;;
294352001;Azole antifungal allergy (disorder);4198721000005110;allergi over for azolantimykotika;;
294355004;Imidazole antifungal allergy (disorder);4161741000005110;allergi over for imidazol-antimykotika;;
294356003;Clotrimazole allergy (disorder);4102291000005110;allergi over for clotrimazol;;
294357007;Fenticonazole allergy (disorder);4102301000005110;allergi over for fenticonazol;;
294360000;Isoconazole allergy (disorder);4102311000005110;allergi over for isoconazol;;
294362008;Ketoconazole allergy (disorder);4102321000005110;allergi over for ketoconazol;;
294363003;Miconazole allergy (disorder);4102341000005110;allergi over for miconazol;;
294361001;Sulconazole allergy (disorder);4102331000005110;allergi over for sulconazol;;
294358002;Tioconazole allergy (disorder);4102351000005110;allergi over for tioconazol;;
294364009;Triazole antifungals allergy (disorder);4161751000005110;allergi over for triazol-antimykotika;;
294365005;Fluconazole allergy (disorder);4102361000005110;allergi over for fluconazol;;
294366006;Itraconazole allergy (disorder);4102371000005110;allergi over for itraconazol;;
294354000;Undecenoates allergy (disorder);4287841000005110;allergi over for undecenoater;;
294341007;Flucytosine allergy (disorder);4102381000005110;allergi over for flucytosin;;
294348001;Griseofulvin allergy (disorder);3951571000005110;allergi over for griseofulvin;;
294350009;Natamycin allergy (disorder);4102391000005110;allergi over for natamycin;;
294343005;Nitrophenol allergy (disorder);3951561000005110;allergi over for nitrophenol;;
294351008;Nystatin allergy (disorder);3954111000005110;allergi over for nystatin;;
294342000;Terbinafine allergy (disorder);4124171000005110;allergi over for terbinafin;;
294344004;Tolnaftate allergy (disorder);4102401000005110;allergi over for tolnaftat;;
294595003;Antiprotozoal drug allergy (disorder);4207991000005110;allergi over for antiprotozomiddel;;
294387001;Antimalarial drug allergy (disorder);4208001000005110;allergi over for malariamiddel;;
294389003;Aminoquinoline antimalarial allergy (disorder);4208011000005110;allergi over for malariamiddel indeholdende aminoquinolin;;
294390007;Amodiaquine allergy (disorder);4102411000005110;allergi over for amodiaquin;;
294394003;Chloroquine allergy (disorder);3951581000005110;allergi over for chloroquin;;
294392004;Mefloquine allergy (disorder);4102441000005110;allergi over for mefloquin;;
294391006;Primaquine allergy (disorder);4102431000005110;allergi over for primaquin;;
294395002;Biguanide antimalarial allergy (disorder);4162961000005110;allergi over for malariamiddel indeholdende biguanid;;
294396001;Proguanil allergy (disorder);4102451000005110;allergi over for proguanil;;
294585005;Doxycycline allergy (disorder);3954121000005110;allergi over for doxycyclin;;
294399008;Halofantrine allergy (disorder);4102461000005110;allergi over for halofantrin;;
294400001;Mepacrine allergy (disorder);4102471000005110;allergi over for mepacrin;;
294388006;Pyrimethamine allergy (disorder);4102481000005110;allergi over for pyrimethamin;;
294597006;Antimony antiprotozoal allergy (disorder);4235391000005110;allergi over for protozomiddel indeholdende antimon;;
294598001;Sodium stibogluconate allergy (disorder);4102421000005110;allergi over for natriumstibogluconat;;
294596002;Atovaquone allergy (disorder);4102641000005110;allergi over for atovaquon;;
294599009;Diamidine antiprotozoal allergy (disorder);4235411000005110;allergi over for protozomiddel indeholdende diamin;;
294600007;Pentamidine allergy (disorder);4102651000005110;allergi over for pentamidin;;
294601006;Dichloroacetamide antiprotozoal allergy (disorder);4235421000005110;allergi over for protozomiddel indeholdende dichloracetamid;;
294602004;Diloxanide allergy (disorder);4102661000005110;allergi over for diloxanid;;
294566007;Nitroimidazole allergy (disorder);3951611000005110;allergi over for nitroimidazol;;
294567003;Metronidazole allergy (disorder);3954141000005110;allergi over for metronidazol;;
294569000;Nimorazole allergy (disorder);4102671000005110;allergi over for nimorazol;;
294568008;Tinidazole allergy (disorder);4102681000005110;allergi over for tinidazol;;
294367002;Antiviral drug allergy (disorder);3951591000005110;allergi over for antiviralt lægemiddel;;
294384008;Aciclovir allergy (disorder);3951601000005110;allergi over for aciclovir;;
294372006;Didanosine allergy (disorder);4102701000005110;allergi over for didanosin;;
294371004;Famciclovir allergy (disorder);4104911000005110;allergi over for famciclovir;;
294382007;Foscarnet allergy (disorder);4104921000005110;allergi over for foscarnet;;
294370003;Ganciclovir allergy (disorder);3954131000005110;allergi over for ganciclovir;;
294385009;Idoxuridine allergy (disorder);4102691000005110;allergi over for idoxuridin;;
294368007;Inosine pranobex allergy (disorder);4163011000005110;allergi over for inosin pranobex;;
294380004;Tribavirin allergy (disorder);4163021000005110;allergi over for ribavirin;;
294381000;Trifluorothymidine allergy (disorder);4104931000005110;allergi over for trifluorothymidin;;
294374007;Valaciclovir allergy (disorder);4156691000005110;allergi over for valaciclovir;;
294383002;Vidarabine allergy (disorder);4105221000005110;allergi over for vidarabin;;
294373001;Zalcitabine allergy (disorder);4105231000005110;allergi over for zalcitabin;;
294369004;Zidovudine allergy (disorder);4105241000005110;allergi over for zidovudin;;
294403004;Disinfectants and cleansers allergy (disorder);3964511000005110;allergi over for desinfektions- og rensemidler;;
294419006;Alcoholic disinfectant allergy (disorder);4163031000005110;allergi over for infektionsmiddel indeholdende alkohol;;
294421001;Industrial methylated spirit allergy (disorder);4287861000005110;allergi over for denatureret industrisprit;;
294422008;Aldehyde disinfectant allergy (disorder);4163071000005110;allergi over for infektionsmiddel indeholdende aldehyd;;
294426006;Formaldehyde allergy (disorder);3954151000005110;allergi over for formaldehyd;;
294425005;Noxythiolin allergy (disorder);4239131000005110;allergi over for noxytiolin;;
294427002;Amidine disinfectant allergy (disorder);4163111000005110;allergi over for infektionsmiddel indeholdende amidin;;
294429004;Dibromopropamidine isethionate allergy (disorder);4218081000005110;allergi over for dibrompropamidin-isethionat;;
294428007;Propamidine isethionate allergy (disorder);4218091000005110;allergi over for propamidin-isethionat;;
294430009;Biguanide disinfectant allergy (disorder);4163141000005110;allergi over for desinfektionsmiddel indeholdende biguanid;;
294433006;Borate allergy (disorder);3954161000005110;allergi over for borat;;
294434000;Boric acid allergy (disorder);3954171000005110;allergi over for borsyre;;
294435004;Cationic surfactant allergy (disorder);4287871000005110;allergi over for kationisk surfaktant;;
294436003;Quaternary ammonium surfactant allergy (disorder);4335831000005110;allergi over for kvaternær ammonium-surfaktant;;
294437007;Cetrimide allergy (disorder);4105251000005110;allergi over for cetrimid;;
294440007;Quaternary pyridinium surfactant allergy (disorder);4335841000005110;allergi over for kvaternær pyridinium-surfaktant;;
294442004;Quaternary quinolinium surfactant allergy (disorder);4335881000005110;allergi over for kvaternær quinolin-surfaktant;;
294443009;Dequalinium allergy (disorder);4105261000005110;allergi over for dequalinium;;
294409000;Chlorinated solutions allergy (disorder);3965361000005110;allergi over for chlorerede opløsninger;;
294444003;Disinfectant dye allergy (disorder);4163181000005110;allergi over for desinfektionsmiddel indeholdende farvestof;;
294445002;Acridine azo disinfectant dye allergy (disorder);4287911000005110;allergi over for acridin-azofarvestofdesinfektionsmiddel;;
294446001;Triphenylmethane azo disinfectant dye allergy (disorder);4287921000005110;allergi over for triphenylmethan-azofarvestofdesinfektionsmiddel;;
294448000;Brilliant green allergy (disorder);4105271000005110;allergi over for brilliantgrøn;;
294447005;Crystal violet allergy (disorder);3954181000005110;allergi over for krystalviolet;;
294405006;Hydragaphen allergy (disorder);4105281000005110;allergi over for hydragaphen;;
294449008;Hydrogen peroxide allergy (disorder);3954191000005110;allergi over for hydrogenperoxid;;
294412002;Phenolics allergy (disorder);4105291000005110;allergi over for phenoler;;
294418003;Phenol allergy (disorder);3965371000005110;allergi over for phenol;;
294414001;Chlorinated phenol disinfectant allergy (disorder);4287851000005110;allergi over for chloreret phenol-desinfektionsmiddel;;
294413007;Thymol allergy (disorder);4105301000005110;allergi over for thymol;;
294406007;Polynoxylin allergy (disorder);4105311000005110;allergi over for polynoxylin;;
294410005;Potassium permanganate allergy (disorder);3954201000005110;allergi over for kaliumpermanganat;;
294408008;Sodium perborate allergy (disorder);4105321000005110;allergi over for natriumperborat;;
402592001;Allergy to drug in contact with skin (disorder);3714171000005110;allergi over for lægemiddel i kontakt med huden;;
445395006;Allergy to Myroxylon pereirae (disorder);2872059010;Allergy to Myroxylon pereirae;;
439406006;Allergy to meglitinide (disorder);4611881000005110;allergi over for meglitinid;;
293580007;Allergy to over-the-counter drug (disorder);3844521000005110;allergi over for håndkøbsmedicin;;
439954005;Allergy to thiazolidinedione (disorder);4611891000005110;allergi over for thiazolidinedion;;
293582004;Analgesic allergy (disorder);3844531000005110;allergi over for analgetikum;;
293583009;Non-opioid analgesic allergy (disorder);3844541000005110;allergi over for ikke-opioidt analgetikum;;
418434002;Anesthetic allergy (disorder);3714441000005110;allergi over for anæstetikum;;
293704003;General anesthetic drug allergy (disorder);3844561000005110;allergi over for generelt anæstetikum;;
293705002;Intravenous anesthetics allergy (disorder);3844651000005110;allergi over for intravenøse anæstetika;;
293706001;Etomidate allergy (disorder);3844661000005110;allergi over for etomidat;;
293707005;Ketamine allergy (disorder);3844671000005110;allergi over for ketamin;;
293710003;Methohexitone allergy (disorder);3844681000005110;allergi over for methohexiton;;
293708000;Propofol allergy (disorder);3844691000005110;allergi over for propofol;;
293709008;Thiopentone allergy (disorder);3844701000005110;allergi over for thiopenton;;
293718005;Local anesthetic drug allergy (disorder);3844711000005110;allergi over for lokalanæstesilægemidddel;;
441931002;Allergy to chloroprocaine (disorder);4619091000005110;allergi over for chloroprocain;;
293725003;Amethocaine allergy (disorder);3844721000005110;allergi over for tetracain;;
293724004;Benzocaine allergy (disorder);3844731000005110;allergi over for benzocain;;
293719002;Bupivacaine allergy (disorder);3844741000005110;allergi over for bupivacain;;
293720008;Cinchocaine allergy (disorder);3844751000005110;allergi over for cinchocain;;
293726002;Oxybuprocaine allergy (disorder);3844771000005110;allergi over for oxybuprocain;;
293721007;Prilocaine allergy (disorder);3844781000005110;allergi over for prilocain;;
293727006;Procaine allergy (disorder);3844791000005110;allergi over for procain;;
293728001;Proxymetacaine allergy (disorder);3844801000005110;allergi over for proxymetacain;;
294107006;Antiallergenic drug allergy (disorder);4098641000005110;allergi over for antiallergisk lægemiddel;;
294141003;Cromoglycate and related antiallergenic allergy (disorder);4175891000005110;allergi over for cromoglycat og relateret allergimiddel;;
294144006;Ketotifen allergy (disorder);4105341000005110;allergi over for ketotifen;;
294145007;Lodoxamide allergy (disorder);4105351000005110;allergi over for lodoxamid;;
294142005;Nedocromil allergy (disorder);4105361000005110;allergi over for nedocromil;;
294143000;Sodium cromoglycate allergy (disorder);3954231000005110;allergi over for natriumcromglycat;;
294109009;H1 antihistamine allergy (disorder);4098661000005110;allergi over for H1-antihistamin;;
294110004;Non-sedating antihistamine allergy (disorder);3954241000005110;allergi over for ikke-sederende antihistamin;;
294113002;Acrivastine allergy (disorder);3954251000005110;allergi over for acrivastin;;
294111000;Astemizole allergy (disorder);4105371000005110;allergi over for astemizol;;
294115009;Azelastine allergy (disorder);4105381000005110;allergi over for azelastin;;
294116005;Cetirizine allergy (disorder);4105391000005110;allergi over for cetirizin;;
294114008;Loratadine allergy (disorder);4105401000005110;allergi over for loratadin;;
294112007;Terfenadine allergy (disorder);4105411000005110;allergi over for terfenadin;;
294117001;Sedating antihistamine allergy (disorder);3954271000005110;allergi over for sederende antihistamin;;
294125004;Antazoline allergy (disorder);4105421000005110;allergi over for antazolin;;
294127007;Azatadine allergy (disorder);4105431000005110;allergi over for azatadin;;
294128002;Brompheniramine allergy (disorder);4105441000005110;allergi over for brompheniramin;;
294129005;Chlorpheniramine allergy (disorder);4105451000005110;allergi over for chlorphenamin;;
294130000;Cinnarizine allergy (disorder);4105461000005110;allergi over for cinnarizin;;
294118006;Clemastine allergy (disorder);4106321000005110;allergi over for clemastin;;
294122001;Cyclizine allergy (disorder);3954281000005110;allergi over for cyclizin;;
294131001;Cyproheptadine allergy (disorder);4105471000005110;allergi over for cyproheptadin;;
294123006;Dimenhydrinate allergy (disorder);4105481000005110;allergi over for dimenhydrinat;;
294132008;Dimethindene allergy (disorder);4239141000005110;allergi over for dimetinden;;
294134009;Diphenylpyraline allergy (disorder);4106341000005110;allergi over for diphenylpyralin;;
294119003;Mebhydrolin allergy (disorder);4105491000005110;allergi over for mebhydrolin;;
294124000;Meclozine hydrochloride allergy (disorder);4105501000005110;allergi over for meclozinhydrochlorid;;
294136006;Mepyramine allergy (disorder);4106281000005110;allergi over for mepyramin;;
294120009;Mequitazine allergy (disorder);4105511000005110;allergi over for mequitazin;;
294121008;Oxatomide allergy (disorder);4105521000005110;allergi over for oxatomid;;
294137002;Phenindamine allergy (disorder);4105531000005110;allergi over for phenindamin;;
294138007;Pheniramine allergy (disorder);4105541000005110;allergi over for pheniramin;;
294126003;Promethazine allergy (disorder);4107231000005110;allergi over for promethazin;;
294139004;Triprolidine allergy (disorder);4105551000005110;allergi over for triprolidin;;
294108001;Topical antihistamine allergy (disorder);3954291000005110;allergi over for antihistamin til topikal anvendelse;;
293739003;Antineoplastic allergy (disorder);4287831000005110;allergi over for antineoplastisk lægemiddel;;
293740001;Alkylating drug allergy (disorder);3844811000005110;allergi over for alkylerende lægemiddel;;
293742009;Busulfan allergy (disorder);3844831000005110;allergi over for busulfan;;
293741002;Mitobronitol allergy (disorder);3844841000005110;allergi over for mitobronitol;;
293746007;Nitrogen mustard derivative allergy (disorder);3844851000005110;allergi over for nitrogensennepsgasderivat;;
293747003;Chlorambucil allergy (disorder);3844861000005110;allergi over for chlorambucil;;
293748008;Cyclophosphamide allergy (disorder);3844871000005110;allergi over for cyclophosphamid;;
293752008;Estramustine allergy (disorder);3844891000005110;allergi over for estramustin;;
293749000;Ethoglucid allergy (disorder);3844901000005110;allergi over for ethoglucid;;
293750000;Ifosfamide allergy (disorder);3844911000005110;allergi over for ifosfamid;;
293751001;Melphalan allergy (disorder);3844921000005110;allergi over for melphalan;;
293753003;Mustine allergy (disorder);3844931000005110;allergi over for chlormethin;;
293754009;Nitrosurea allergy (disorder);4197861000005110;allergi over for nitrosurinstof;;
293755005;Carmustine allergy (disorder);3844951000005110;allergi over for carmustin;;
293756006;Lomustine allergy (disorder);3844961000005110;allergi over for lomustin;;
293745006;Thiotepa allergy (disorder);3844971000005110;allergi over for thiotepa;;
293743004;Treosulfan allergy (disorder);3844981000005110;allergi over for treosulfan;;
293757002;Triazene antineoplastic allergy (disorder);4235431000005110;allergi over for antineoplastikum indeholdende triazen;;
293758007;Dacarbazine allergy (disorder);3845001000005110;allergi over for dacarbazin;;
293778004;Amsacrine allergy (disorder);3845011000005110;allergi over for amsacrin;;
293769005;Antimetabolite allergy (disorder);3845021000005110;allergi over for antimetabolit;;
