CONCEPTID	CONCEPTSTATUS	FULLYSPECIFIEDNAME	CTV3ID	SNOMEDID	ISPRIMITIVE
188001	0	Injury of intercostal artery (disorder)	SB1y0	DD-40240	0
189009	0	Excision of lesion of artery (procedure)	XU8ls	P1-30316	0
190000	4	Partial hysterectomy (procedure)	XUSSa	P1-83352	1
191001	0	Lednice virus (organism)	XU8oJ	L-33942	1
192008	0	Congenital syphilitic hepatomegaly (disorder)	XM1OI	DE-14513	0
193003	0	Benign hypertensive renal disease (disorder)	G221.	D3-02720	1
194009	0	Notropis whipplei (organism)	XU8w1	L-C42B4	1
195005	0	Illegal abortion with endometritis (disorder)	XU8yj	D8-04311	1
196006	0	Concave shape (qualifier value)	XU91V	M-02040	1
197002	0	Mold to yeast conversion test (procedure)	XU94H	P3-50770	1
198007	0	Disease due to Filoviridae (disorder)	XU97D	DE-37000	0
199004	0	Decreased lactation (finding)	X40Du	F-8A024	1
